fish_ID,date,waterbody,TL_mm,weight_g,sex,age,cohort,pisc,lifeyear,year,inc_mm,rad,total_rad
BH-90001,2020-02-06,GB,591,1630,m,6,2015,0.9,1,2016,1.8,1.8,7
BH-90001,2020-02-06,GB,591,1630,m,6,2015,0.9,2,2017,1.8,3.6,7
BH-90001,2020-02-06,GB,591,1630,m,6,2015,0.9,3,2018,1.4,5,7
BH-90001,2020-02-06,GB,591,1630,m,6,2015,0.9,4,2019,1,6,7
BH-90001,2020-02-06,GB,591,1630,m,6,2015,0.9,5,2020,0.6,6.6,7
BH-90001,2020-02-06,GB,591,1630,m,6,2015,0.9,6,,0.4,7,7
BH-90002,2020-02-05,BEG,762,3202,m,6,2015,1.75,1,2016,2.65,2.65,7.9
BH-90002,2020-02-05,BEG,762,3202,m,6,2015,1.75,2,2017,2.25,4.9,7.9
BH-90002,2020-02-05,BEG,762,3202,m,6,2015,1.75,3,2018,1.15,6.05,7.9
BH-90002,2020-02-05,BEG,762,3202,m,6,2015,1.75,4,2019,0.95,7,7.9
BH-90002,2020-02-05,BEG,762,3202,m,6,2015,1.75,5,2020,0.5,7.5,7.9
BH-90002,2020-02-05,BEG,762,3202,m,6,2015,1.75,6,,0.4,7.9,7.9
BH-90003,2020-02-04,BEG,931,6904,f,8,2013,1.3,1,2014,2.66666666666667,2.66666666666667,8.4
BH-90003,2020-02-04,BEG,931,6904,f,8,2013,1.3,2,2015,1.86666666666667,4.53333333333333,8.4
BH-90003,2020-02-04,BEG,931,6904,f,8,2013,1.3,3,2016,0.866666666666667,5.4,8.4
BH-90003,2020-02-04,BEG,931,6904,f,8,2013,1.3,4,2017,1.06666666666667,6.46666666666667,8.4
BH-90003,2020-02-04,BEG,931,6904,f,8,2013,1.3,5,2018,0.766666666666667,7.23333333333333,8.4
BH-90003,2020-02-04,BEG,931,6904,f,8,2013,1.3,6,2019,0.7,7.93333333333333,8.4
BH-90003,2020-02-04,BEG,931,6904,f,8,2013,1.3,7,2020,0.266666666666667,8.2,8.4
BH-90003,2020-02-04,BEG,931,6904,f,8,2013,1.3,8,,0.2,8.4,8.4
BH-90009,2020-02-14,GB,705,2670,f,2,2019,1.2,1,2020,4.23333333333333,4.23333333333333,6.73333333333333
BH-90009,2020-02-14,GB,705,2670,f,2,2019,1.2,2,,2.5,6.73333333333333,6.73333333333333
BH-90011,2020-02-14,GB,641,1954,f,3,2018,1.05,1,2019,1.85,1.85,6.1
BH-90011,2020-02-14,GB,641,1954,f,3,2018,1.05,2,2020,1.45,3.3,6.1
BH-90011,2020-02-14,GB,641,1954,f,3,2018,1.05,3,,2.8,6.1,6.1
BH-90016,2020-02-14,GB,637,1932,f,3,2018,1.3,1,2019,3.76666666666667,3.76666666666667,6.53333333333333
BH-90016,2020-02-14,GB,637,1932,f,3,2018,1.3,2,2020,1.63333333333333,5.4,6.53333333333333
BH-90016,2020-02-14,GB,637,1932,f,3,2018,1.3,3,,1.13333333333333,6.53333333333333,6.53333333333333
BH-90017,2020-02-14,GB,677,2334,f,3,2018,1.3,1,2019,2.05,2.05,6.15
BH-90017,2020-02-14,GB,677,2334,f,3,2018,1.3,2,2020,1.6,3.65,6.15
BH-90017,2020-02-14,GB,677,2334,f,3,2018,1.3,3,,2.5,6.15,6.15
BH-90019,2020-02-14,GB,821,4896,f,4,2017,1.3,1,2018,3.3,3.3,14
BH-90019,2020-02-14,GB,821,4896,f,4,2017,1.3,2,2019,2.3,5.6,14
BH-90019,2020-02-14,GB,821,4896,f,4,2017,1.3,3,2020,1,6.6,14
BH-90019,2020-02-14,GB,821,4896,f,4,2017,1.3,4,,0.4,7,14
BH-90019,2020-02-14,GB,821,4896,f,4,2013,1.3,1,2014,3.3,10.3,14
BH-90019,2020-02-14,GB,821,4896,f,4,2013,1.3,2,2015,2.3,12.6,14
BH-90019,2020-02-14,GB,821,4896,f,4,2013,1.3,3,2016,1,13.6,14
BH-90019,2020-02-14,GB,821,4896,f,4,2013,1.3,4,,0.4,14,14
BH-90028,2020-02-14,GB,589,1474,f,3,2018,1.25,1,2019,3.05,3.05,6.1
BH-90028,2020-02-14,GB,589,1474,f,3,2018,1.25,2,2020,1.65,4.7,6.1
BH-90028,2020-02-14,GB,589,1474,f,3,2018,1.25,3,,1.4,6.1,6.1
BH-90032,2020-02-14,GB,723,3232,f,5,2016,1.175,1,2017,3.675,3.675,7.25
BH-90032,2020-02-14,GB,723,3232,f,5,2016,1.175,2,2018,1.225,4.9,7.25
BH-90032,2020-02-14,GB,723,3232,f,5,2016,1.175,3,2019,1.075,5.975,7.25
BH-90032,2020-02-14,GB,723,3232,f,5,2016,1.175,4,2020,0.825,6.8,7.25
BH-90032,2020-02-14,GB,723,3232,f,5,2016,1.175,5,,0.45,7.25,7.25
BH-90033,2020-02-14,GB,601,1520,f,4,2017,0.8,1,2018,1.9,1.9,6.8
BH-90033,2020-02-14,GB,601,1520,f,4,2017,0.8,2,2019,1.5,3.4,6.8
BH-90033,2020-02-14,GB,601,1520,f,4,2017,0.8,3,2020,2.9,6.3,6.8
BH-90033,2020-02-14,GB,601,1520,f,4,2017,0.8,4,,0.5,6.8,6.8
BH-90037,2020-02-14,GB,603,1494,f,8,2013,1.63333333333333,1,2014,4.36666666666667,4.36666666666667,8.9
BH-90037,2020-02-14,GB,603,1494,f,8,2013,1.63333333333333,2,2015,1.03333333333333,5.4,8.9
BH-90037,2020-02-14,GB,603,1494,f,8,2013,1.63333333333333,3,2016,0.9,6.3,8.9
BH-90037,2020-02-14,GB,603,1494,f,8,2013,1.63333333333333,4,2017,0.8,7.1,8.9
BH-90037,2020-02-14,GB,603,1494,f,8,2013,1.63333333333333,5,2018,0.833333333333333,7.93333333333333,8.9
BH-90037,2020-02-14,GB,603,1494,f,8,2013,1.63333333333333,6,2019,0.333333333333333,8.26666666666667,8.9
BH-90037,2020-02-14,GB,603,1494,f,8,2013,1.63333333333333,7,2020,0.366666666666667,8.63333333333334,8.9
BH-90037,2020-02-14,GB,603,1494,f,8,2013,1.63333333333333,8,,0.266666666666667,8.9,8.9
BH-90046,2020-02-14,GB,695,2492,m,6,2015,1.5,1,2016,3.4,3.4,6.6
BH-90046,2020-02-14,GB,695,2492,m,6,2015,1.5,2,2017,0.8,4.2,6.6
BH-90046,2020-02-14,GB,695,2492,m,6,2015,1.5,3,2018,0.9,5.1,6.6
BH-90046,2020-02-14,GB,695,2492,m,6,2015,1.5,4,2019,0.8,5.9,6.6
BH-90046,2020-02-14,GB,695,2492,m,6,2015,1.5,5,2020,0.5,6.4,6.6
BH-90046,2020-02-14,GB,695,2492,m,6,2015,1.5,6,,0.2,6.6,6.6
BH-90050,2020-02-28,S,890,6748,f,8,2013,1.55,1,2014,3.1,3.1,8.35
BH-90050,2020-02-28,S,890,6748,f,8,2013,1.55,2,2015,1.4,4.5,8.35
BH-90050,2020-02-28,S,890,6748,f,8,2013,1.55,3,2016,1.3,5.8,8.35
BH-90050,2020-02-28,S,890,6748,f,8,2013,1.55,4,2017,1.25,7.05,8.35
BH-90050,2020-02-28,S,890,6748,f,8,2013,1.55,5,2018,0.55,7.6,8.35
BH-90050,2020-02-28,S,890,6748,f,8,2013,1.55,6,2019,0.3,7.9,8.35
BH-90050,2020-02-28,S,890,6748,f,8,2013,1.55,7,2020,0.25,8.15,8.35
BH-90050,2020-02-28,S,890,6748,f,8,2013,1.55,8,,0.2,8.35,8.35
BH-90052,2020-02-20,Barthe,790,4021,f,4,2017,1.75,1,2018,3.6,3.6,8.15
BH-90052,2020-02-20,Barthe,790,4021,f,4,2017,1.75,2,2019,2.65,6.25,8.15
BH-90052,2020-02-20,Barthe,790,4021,f,4,2017,1.75,3,2020,1.2,7.45,8.15
BH-90052,2020-02-20,Barthe,790,4021,f,4,2017,1.75,4,,0.7,8.15,8.15
BH-90063,2020-02-27,BAT,863,5686,f,11,2010,1,1,2011,2.3,2.3,8.8
BH-90063,2020-02-27,BAT,863,5686,f,11,2010,1,2,2012,2.7,5,8.8
BH-90063,2020-02-27,BAT,863,5686,f,11,2010,1,3,2013,1.5,6.5,8.8
BH-90063,2020-02-27,BAT,863,5686,f,11,2010,1,4,2014,0.4,6.9,8.8
BH-90063,2020-02-27,BAT,863,5686,f,11,2010,1,5,2015,0.4,7.3,8.8
BH-90063,2020-02-27,BAT,863,5686,f,11,2010,1,6,2016,0.3,7.6,8.8
BH-90063,2020-02-27,BAT,863,5686,f,11,2010,1,7,2017,0.2,7.8,8.8
BH-90063,2020-02-27,BAT,863,5686,f,11,2010,1,8,2018,0.3,8.1,8.8
BH-90063,2020-02-27,BAT,863,5686,f,11,2010,1,9,2019,0.3,8.4,8.8
BH-90063,2020-02-27,BAT,863,5686,f,11,2010,1,10,2020,0.2,8.6,8.8
BH-90063,2020-02-27,BAT,863,5686,f,11,2010,1,11,,0.2,8.8,8.8
BH-90064,2020-02-21,S,711,2560,f,6,2015,1.3,1,2016,4.1,4.1,7.1
BH-90064,2020-02-21,S,711,2560,f,6,2015,1.3,2,2017,0.9,5,7.1
BH-90064,2020-02-21,S,711,2560,f,6,2015,1.3,3,2018,1.1,6.1,7.1
BH-90064,2020-02-21,S,711,2560,f,6,2015,1.3,4,2019,0.3,6.4,7.1
BH-90064,2020-02-21,S,711,2560,f,6,2015,1.3,5,2020,0.3,6.7,7.1
BH-90064,2020-02-21,S,711,2560,f,6,2015,1.3,6,,0.4,7.1,7.1
BH-90066,2020-02-28,S,769,3456,m,6,2015,1.4,1,2016,3.43333333333333,3.43333333333333,7.46666666666667
BH-90066,2020-02-28,S,769,3456,m,6,2015,1.4,2,2017,1.7,5.13333333333333,7.46666666666667
BH-90066,2020-02-28,S,769,3456,m,6,2015,1.4,3,2018,1.2,6.33333333333333,7.46666666666667
BH-90066,2020-02-28,S,769,3456,m,6,2015,1.4,4,2019,0.666666666666667,7,7.46666666666667
BH-90066,2020-02-28,S,769,3456,m,6,2015,1.4,5,2020,0.3,7.3,7.46666666666667
BH-90066,2020-02-28,S,769,3456,m,6,2015,1.4,6,,0.166666666666667,7.46666666666667,7.46666666666667
BH-90072,2020-03-02,P,914,5666,f,8,2013,1.55,1,2014,3.15,3.15,8.05
BH-90072,2020-03-02,P,914,5666,f,8,2013,1.55,2,2015,1.6,4.75,8.05
BH-90072,2020-03-02,P,914,5666,f,8,2013,1.55,3,2016,1,5.75,8.05
BH-90072,2020-03-02,P,914,5666,f,8,2013,1.55,4,2017,0.65,6.4,8.05
BH-90072,2020-03-02,P,914,5666,f,8,2013,1.55,5,2018,0.55,6.95,8.05
BH-90072,2020-03-02,P,914,5666,f,8,2013,1.55,6,2019,0.45,7.4,8.05
BH-90072,2020-03-02,P,914,5666,f,8,2013,1.55,7,2020,0.4,7.8,8.05
BH-90072,2020-03-02,P,914,5666,f,8,2013,1.55,8,,0.25,8.05,8.05
BH-90073,2020-03-03,S,989,8846,f,6,2015,1.85,1,2016,5.95,5.95,9.7
BH-90073,2020-03-03,S,989,8846,f,6,2015,1.85,2,2017,1.7,7.65,9.7
BH-90073,2020-03-03,S,989,8846,f,6,2015,1.85,3,2018,0.85,8.5,9.7
BH-90073,2020-03-03,S,989,8846,f,6,2015,1.85,4,2019,0.45,8.95,9.7
BH-90073,2020-03-03,S,989,8846,f,6,2015,1.85,5,2020,0.45,9.4,9.7
BH-90073,2020-03-03,S,989,8846,f,6,2015,1.85,6,,0.3,9.7,9.7
BH-90074,2020-03-03,S,1210,,f,11,2010,1.35,1,2011,3.55,3.55,9.35
BH-90074,2020-03-03,S,1210,,f,11,2010,1.35,2,2012,1.45,5,9.35
BH-90074,2020-03-03,S,1210,,f,11,2010,1.35,3,2013,0.7,5.7,9.35
BH-90074,2020-03-03,S,1210,,f,11,2010,1.35,4,2014,0.7,6.4,9.35
BH-90074,2020-03-03,S,1210,,f,11,2010,1.35,5,2015,0.7,7.1,9.35
BH-90074,2020-03-03,S,1210,,f,11,2010,1.35,6,2016,0.55,7.65,9.35
BH-90074,2020-03-03,S,1210,,f,11,2010,1.35,7,2017,0.5,8.15,9.35
BH-90074,2020-03-03,S,1210,,f,11,2010,1.35,8,2018,0.35,8.5,9.35
BH-90074,2020-03-03,S,1210,,f,11,2010,1.35,9,2019,0.3,8.8,9.35
BH-90074,2020-03-03,S,1210,,f,11,2010,1.35,10,2020,0.35,9.15,9.35
BH-90074,2020-03-03,S,1210,,f,11,2010,1.35,11,,0.2,9.35,9.35
BH-90075,2020-03-02,SB,656,2344,f,3,2018,1.4,1,2019,3.13333333333333,3.13333333333333,5.6
BH-90075,2020-03-02,SB,656,2344,f,3,2018,1.4,2,2020,1.93333333333333,5.06666666666667,5.6
BH-90075,2020-03-02,SB,656,2344,f,3,2018,1.4,3,,0.533333333333333,5.6,5.6
BH-90076,2020-03-02,SB,691,3068,f,3,2018,1.6,1,2019,4.05,4.05,6.35
BH-90076,2020-03-02,SB,691,3068,f,3,2018,1.6,2,2020,1.5,5.55,6.35
BH-90076,2020-03-02,SB,691,3068,f,3,2018,1.6,3,,0.8,6.35,6.35
BH-90077,2020-03-02,SB,582,1464,m,4,2017,1.1,1,2018,2.55,2.55,5.45
BH-90077,2020-03-02,SB,582,1464,m,4,2017,1.1,2,2019,1,3.55,5.45
BH-90077,2020-03-02,SB,582,1464,m,4,2017,1.1,3,2020,1.25,4.8,5.45
BH-90077,2020-03-02,SB,582,1464,m,4,2017,1.1,4,,0.65,5.45,5.45
BH-90079,2020-03-03,S,640,2316,f,4,2017,1.1,1,2018,2.95,2.95,5.45
BH-90079,2020-03-03,S,640,2316,f,4,2017,1.1,2,2019,0.85,3.8,5.45
BH-90079,2020-03-03,S,640,2316,f,4,2017,1.1,3,2020,1.2,5,5.45
BH-90079,2020-03-03,S,640,2316,f,4,2017,1.1,4,,0.45,5.45,5.45
BH-90081,2020-03-03,S,725,3056,m,7,2014,1.15,1,2015,1.65,1.65,6.9
BH-90081,2020-03-03,S,725,3056,m,7,2014,1.15,2,2016,2.15,3.8,6.9
BH-90081,2020-03-03,S,725,3056,m,7,2014,1.15,3,2017,1.15,4.95,6.9
BH-90081,2020-03-03,S,725,3056,m,7,2014,1.15,4,2018,0.65,5.6,6.9
BH-90081,2020-03-03,S,725,3056,m,7,2014,1.15,5,2019,0.6,6.2,6.9
BH-90081,2020-03-03,S,725,3056,m,7,2014,1.15,6,2020,0.45,6.65,6.9
BH-90081,2020-03-03,S,725,3056,m,7,2014,1.15,7,,0.25,6.9,6.9
BH-90084,2020-02-27,BAT,785,4026,f,6,2015,1.25,1,2016,3.85,3.85,8.45
BH-90084,2020-02-27,BAT,785,4026,f,6,2015,1.25,2,2017,1.45,5.3,8.45
BH-90084,2020-02-27,BAT,785,4026,f,6,2015,1.25,3,2018,1.3,6.6,8.45
BH-90084,2020-02-27,BAT,785,4026,f,6,2015,1.25,4,2019,0.6,7.2,8.45
BH-90084,2020-02-27,BAT,785,4026,f,6,2015,1.25,5,2020,0.5,7.7,8.45
BH-90084,2020-02-27,BAT,785,4026,f,6,2015,1.25,6,,0.75,8.45,8.45
BH-90085,2020-03-03,S,1170,,f,12,2009,1.73333333333333,1,2010,3.16666666666667,3.16666666666667,9.66666666666667
BH-90085,2020-03-03,S,1170,,f,12,2009,1.73333333333333,2,2011,1.23333333333333,4.4,9.66666666666667
BH-90085,2020-03-03,S,1170,,f,12,2009,1.73333333333333,3,2012,0.733333333333333,5.13333333333333,9.66666666666667
BH-90085,2020-03-03,S,1170,,f,12,2009,1.73333333333333,4,2013,0.866666666666667,6,9.66666666666667
BH-90085,2020-03-03,S,1170,,f,12,2009,1.73333333333333,5,2014,0.933333333333333,6.93333333333333,9.66666666666667
BH-90085,2020-03-03,S,1170,,f,12,2009,1.73333333333333,6,2015,0.7,7.63333333333333,9.66666666666667
BH-90085,2020-03-03,S,1170,,f,12,2009,1.73333333333333,7,2016,0.466666666666667,8.1,9.66666666666667
BH-90085,2020-03-03,S,1170,,f,12,2009,1.73333333333333,8,2017,0.4,8.5,9.66666666666667
BH-90085,2020-03-03,S,1170,,f,12,2009,1.73333333333333,9,2018,0.433333333333333,8.93333333333333,9.66666666666667
BH-90085,2020-03-03,S,1170,,f,12,2009,1.73333333333333,10,2019,0.333333333333333,9.26666666666667,9.66666666666667
BH-90085,2020-03-03,S,1170,,f,12,2009,1.73333333333333,11,2020,0.266666666666667,9.53333333333333,9.66666666666667
BH-90085,2020-03-03,S,1170,,f,12,2009,1.73333333333333,12,,0.133333333333333,9.66666666666667,9.66666666666667
BH-90086,2020-03-02,SB,741,2944,u,8,2013,1.45,1,2014,2.5,2.5,8.4
BH-90086,2020-03-02,SB,741,2944,u,8,2013,1.45,2,2015,2.05,4.55,8.4
BH-90086,2020-03-02,SB,741,2944,u,8,2013,1.45,3,2016,1.1,5.65,8.4
BH-90086,2020-03-02,SB,741,2944,u,8,2013,1.45,4,2017,1.2,6.85,8.4
BH-90086,2020-03-02,SB,741,2944,u,8,2013,1.45,5,2018,0.55,7.4,8.4
BH-90086,2020-03-02,SB,741,2944,u,8,2013,1.45,6,2019,0.4,7.8,8.4
BH-90086,2020-03-02,SB,741,2944,u,8,2013,1.45,7,2020,0.3,8.1,8.4
BH-90086,2020-03-02,SB,741,2944,u,8,2013,1.45,8,,0.3,8.4,8.4
BH-90088,2020-02-28,S,717,2824,m,7,2014,1.4,1,2015,2,2,7.8
BH-90088,2020-02-28,S,717,2824,m,7,2014,1.4,2,2016,2.8,4.8,7.8
BH-90088,2020-02-28,S,717,2824,m,7,2014,1.4,3,2017,0.9,5.7,7.8
BH-90088,2020-02-28,S,717,2824,m,7,2014,1.4,4,2018,0.7,6.4,7.8
BH-90088,2020-02-28,S,717,2824,m,7,2014,1.4,5,2019,0.7,7.1,7.8
BH-90088,2020-02-28,S,717,2824,m,7,2014,1.4,6,2020,0.4,7.5,7.8
BH-90088,2020-02-28,S,717,2824,m,7,2014,1.4,7,,0.3,7.8,7.8
BH-90089,2020-02-28,S,726,2852,m,7,2014,1.3,1,2015,2.2,2.2,7.3
BH-90089,2020-02-28,S,726,2852,m,7,2014,1.3,2,2016,1.1,3.3,7.3
BH-90089,2020-02-28,S,726,2852,m,7,2014,1.3,3,2017,0.7,4,7.3
BH-90089,2020-02-28,S,726,2852,m,7,2014,1.3,4,2018,0.6,4.6,7.3
BH-90089,2020-02-28,S,726,2852,m,7,2014,1.3,5,2019,0.9,5.5,7.3
BH-90089,2020-02-28,S,726,2852,m,7,2014,1.3,6,2020,0.9,6.4,7.3
BH-90089,2020-02-28,S,726,2852,m,7,2014,1.3,7,,0.9,7.3,7.3
